Customer_ID,Customer_Name,Age,Location,Registration_Date
CUST1,Customer_1,58,Chicago,2024-05-12 15:25:29.766668
CUST2,Customer_2,25,New York,2022-06-05 15:25:29.766686
CUST3,Customer_3,19,Phoenix,2024-10-19 15:25:29.766689
CUST4,Customer_4,65,Los Angeles,2024-11-20 15:25:29.766693
CUST5,Customer_5,35,San Diego,2024-02-19 15:25:29.766696
CUST6,Customer_6,33,San Jose,2024-08-13 15:25:29.766699
CUST7,Customer_7,32,Chicago,2022-08-09 15:25:29.766702
CUST8,Customer_8,26,San Jose,2024-01-16 15:25:29.766707
CUST9,Customer_9,65,Los Angeles,2024-08-23 15:25:29.766711
CUST10,Customer_10,24,Los Angeles,2023-01-16 15:25:29.766714
CUST11,Customer_11,61,Los Angeles,2024-11-19 15:25:29.766717
CUST12,Customer_12,65,San Diego,2023-07-24 15:25:29.766720
CUST13,Customer_13,52,San Jose,2022-06-15 15:25:29.766723
CUST14,Customer_14,23,San Jose,2022-07-30 15:25:29.766726
CUST15,Customer_15,55,Houston,2024-10-31 15:25:29.766729
CUST16,Customer_16,45,Los Angeles,2024-02-23 15:25:29.766732
CUST17,Customer_17,20,Houston,2023-06-06 15:25:29.766735
CUST18,Customer_18,19,San Antonio,2023-05-17 15:25:29.766738
CUST19,Customer_19,23,Philadelphia,2022-08-04 15:25:29.766741
CUST20,Customer_20,31,San Antonio,2023-09-28 15:25:29.766744
CUST21,Customer_21,32,Philadelphia,2023-02-13 15:25:29.766747
CUST22,Customer_22,50,Los Angeles,2025-01-03 15:25:29.766750
CUST23,Customer_23,56,San Jose,2023-11-20 15:25:29.766753
CUST24,Customer_24,19,Dallas,2022-06-14 15:25:29.766756
CUST25,Customer_25,53,Chicago,2023-04-06 15:25:29.766759
CUST26,Customer_26,30,Philadelphia,2024-08-19 15:25:29.766762
CUST27,Customer_27,63,Houston,2023-05-24 15:25:29.766765
CUST28,Customer_28,59,New York,2022-08-07 15:25:29.766768
CUST29,Customer_29,62,San Jose,2023-11-17 15:25:29.766770
CUST30,Customer_30,52,Chicago,2024-08-27 15:25:29.766774
CUST31,Customer_31,44,Philadelphia,2024-12-11 15:25:29.766776
CUST32,Customer_32,32,Los Angeles,2024-10-23 15:25:29.766779
CUST33,Customer_33,46,Los Angeles,2024-03-01 15:25:29.766782
CUST34,Customer_34,55,Phoenix,2024-07-08 15:25:29.766785
CUST35,Customer_35,35,Chicago,2022-05-13 15:25:29.766788
