Transaction_ID,Customer_ID,Product_ID,Quantity,Purchase_Date,Total_Amount
TRAN1,CUST428,PROD80,5,2024-07-17 15:25:29.819781,70
TRAN2,CUST3172,PROD146,1,2022-12-24 15:25:29.819796,220
TRAN3,CUST3091,PROD93,5,2023-06-30 15:25:29.819799,90
TRAN4,CUST1026,PROD105,3,2024-08-08 15:25:29.819801,174
TRAN5,CUST3521,PROD45,1,2024-07-16 15:25:29.819803,267
TRAN6,CUST3497,PROD148,5,2022-05-18 15:25:29.819804,610
TRAN7,CUST4502,PROD29,1,2023-03-17 15:25:29.819806,147
TRAN8,CUST1129,PROD122,3,2023-01-18 15:25:29.819809,48
TRAN9,CUST947,PROD171,1,2023-08-19 15:25:29.819812,330
TRAN10,CUST3588,PROD148,3,2024-05-08 15:25:29.819814,366
TRAN11,CUST967,PROD101,1,2025-01-09 15:25:29.819816,95
TRAN12,CUST3013,PROD80,2,2023-05-08 15:25:29.819818,28
TRAN13,CUST2882,PROD77,1,2023-06-23 15:25:29.819819,357
TRAN14,CUST1587,PROD30,1,2023-02-06 15:25:29.819821,263
TRAN15,CUST2811,PROD110,4,2024-10-05 15:25:29.819823,724
TRAN16,CUST3577,PROD3,3,2024-07-27 15:25:29.819825,366
TRAN17,CUST475,PROD61,1,2022-12-04 15:25:29.819826,105
TRAN18,CUST1952,PROD50,3,2023-12-27 15:25:29.819828,1164
TRAN19,CUST1901,PROD195,3,2022-08-07 15:25:29.819830,918
TRAN20,CUST754,PROD47,1,2023-06-01 15:25:29.819831,368
TRAN21,CUST4822,PROD139,3,2024-11-16 15:25:29.819834,444
TRAN22,CUST83,PROD143,4,2023-10-26 15:25:29.819836,1348
TRAN23,CUST1861,PROD130,5,2023-12-17 15:25:29.819838,2030
TRAN24,CUST3384,PROD2,5,2022-12-12 15:25:29.819840,330
TRAN25,CUST4393,PROD121,2,2024-05-19 15:25:29.819841,488
TRAN26,CUST4654,PROD2,2,2023-06-25 15:25:29.819843,132
TRAN27,CUST376,PROD5,2,2023-07-13 15:25:29.819845,74
TRAN28,CUST123,PROD83,4,2024-01-26 15:25:29.819846,1008
TRAN29,CUST2048,PROD21,4,2023-11-03 15:25:29.819848,840
TRAN30,CUST466,PROD180,5,2023-11-06 15:25:29.819850,495
TRAN31,CUST628,PROD11,2,2022-05-12 15:25:29.819851,86
TRAN32,CUST465,PROD46,4,2022-08-16 15:25:29.819853,1896
TRAN33,CUST1039,PROD135,5,2024-04-06 15:25:29.819854,2205
TRAN34,CUST3593,PROD125,5,2024-08-16 15:25:29.819856,820
TRAN35,CUST1480,PROD80,5,2023-11-07 15:25:29.819858,70
TRAN36,CUST2316,PROD87,3,2024-07-04 15:25:29.819860,1371
TRAN37,CUST359,PROD176,4,2022-09-29 15:25:29.819861,960
TRAN38,CUST2574,PROD21,2,2024-03-18 15:25:29.819863,420
TRAN39,CUST2865,PROD39,5,2023-07-03 15:25:29.819865,1575
TRAN40,CUST4935,PROD6,4,2023-07-18 15:25:29.819866,1872
