Product_Category,Region,Age_Group,Gender,Month,Sales_Amount,Units_Sold,Customer_Rating
Electronics,Asia-Pacific,55-64,Male,May,189.17,42,2.8
Home Appliances,Asia-Pacific,45-54,Non-binary,August,433.48,39,1.3
Books,North America,55-64,Female,January,96.38,2,1.6
Sports Equipment,North America,35-44,Female,August,437.88,26,1.6
Books,Africa,35-44,Male,December,241.96,16,2.5
Beauty Products,Middle East,55-64,Female,August,500.18,85,4.5
Home Appliances,Middle East,18-24,Non-binary,November,636.78,10,1.7
Books,Asia-Pacific,65+,Non-binary,September,191.46,86,2.7
Sports Equipment,Asia-Pacific,35-44,Male,August,12.19,21,2.3
Books,Middle East,35-44,Male,October,477.9,3,3.3
Books,Europe,35-44,Non-binary,April,869.52,37,3.8
Clothing,Middle East,25-34,Male,January,19.39,60,1.6
Books,Africa,25-34,Female,August,610.67,11,2.9
Clothing,Africa,35-44,Female,February,654.76,33,2.5
Home Appliances,Africa,45-54,Female,December,896.84,95,2.0
Electronics,Middle East,18-24,Female,August,83.88,39,4.5
Clothing,Europe,65+,Male,June,202.24,45,4.9
Clothing,Europe,35-44,Male,October,829.1,30,1.6
Clothing,North America,55-64,Non-binary,February,963.49,10,4.2
Sports Equipment,Africa,25-34,Male,October,286.91,10,3.0
Clothing,Latin America,45-54,Female,October,570.15,24,5.0
Clothing,Middle East,25-34,Male,April,719.14,73,4.5
Beauty Products,North America,35-44,Male,October,418.26,77,3.0
Books,Africa,45-54,Male,March,816.94,95,4.8
Clothing,Middle East,35-44,Non-binary,May,993.38,18,3.0
Electronics,North America,18-24,Male,April,203.67,10,1.3
Clothing,Middle East,18-24,Non-binary,July,679.52,74,3.3
Books,Asia-Pacific,18-24,Non-binary,June,208.19,9,4.1
Clothing,Africa,25-34,Non-binary,April,148.63,67,4.7
Clothing,North America,65+,Non-binary,August,226.23,44,2.6
Electronics,Africa,25-34,Female,November,525.1,59,2.6
Home Appliances,Africa,45-54,Male,June,251.31,47,3.1
Clothing,Middle East,65+,Non-binary,December,36.83,22,3.7
Clothing,North America,55-64,Female,June,693.03,54,3.8
Home Appliances,Latin America,18-24,Non-binary,May,291.12,12,4.5
Home Appliances,Europe,45-54,Male,June,595.75,98,3.6
Beauty Products,North America,45-54,Female,September,783.08,8,2.3
Books,Europe,45-54,Non-binary,May,767.6,71,4.0
Books,North America,35-44,Female,February,213.26,3,1.9
Electronics,Latin America,35-44,Female,April,616.8,34,2.6
Sports Equipment,Middle East,35-44,Female,February,623.83,71,3.4
Electronics,Asia-Pacific,65+,Male,June,543.76,7,1.0
