Product_ID,Sales_Date,Region,Category,Price,Quantity_Sold,Revenue,Cost
P0009,2023-03-08,West,Furniture,440.58,2,881.16,606.31
P0003,2023-11-20,East,Toys,141.59,5,707.95,423.49
P0017,2023-03-05,East,Clothing,124.14,14,1737.96,1179.19
P0008,2023-11-26,South,Sports,183.61,10,1836.1,758.51
P0001,2023-04-26,South,Sports,284.15,2,568.3,375.25
P0012,2023-04-12,North,Electronics,252.2,18,4539.6,2112.55
P0008,2023-10-29,East,Sports,71.18,12,854.16,420.7
P0016,2023-05-23,East,Sports,36.68,15,550.2,284.79
P0018,2023-11-01,West,Furniture,150.64,7,1054.48,643.0
P0004,2023-03-05,West,Toys,20.02,16,320.32,198.44
P0001,2023-01-31,West,Toys,57.76,7,404.32,267.12
P0016,2023-08-15,North,Sports,224.19,3,672.57,418.39
P0016,2023-10-19,South,Furniture,304.86,2,609.72,413.74
P0019,2023-12-19,West,Sports,222.82,8,1782.56,713.25
P0013,2023-06-05,West,Toys,33.68,18,606.24,345.18
P0019,2023-06-22,West,Furniture,401.02,13,5213.26,3024.07
P0020,2023-07-03,South,Toys,57.9,3,173.7,80.34
P0012,2023-06-16,East,Clothing,177.26,17,3013.42,1912.09
P0009,2023-08-31,North,Furniture,475.2,18,8553.6,3855.86
P0011,2023-10-09,East,Sports,207.89,4,831.56,429.09
P0019,2023-01-13,South,Electronics,986.88,9,8881.92,4672.55
P0003,2023-09-24,West,Sports,283.23,17,4814.91,2673.88
P0011,2023-04-24,North,Electronics,354.8,15,5322.0,3216.35
P0019,2023-03-09,West,Toys,124.57,6,747.42,334.65
P0011,2023-08-02,North,Toys,149.74,12,1796.88,1196.55
P0001,2023-09-19,North,Sports,248.43,12,2981.16,1924.01
P0018,2023-09-06,East,Toys,75.39,5,376.95,224.35
P0005,2023-11-28,North,Clothing,29.12,1,29.12,17.1
P0017,2023-03-15,North,Toys,28.86,11,317.46,207.15
P0015,2023-10-22,South,Clothing,154.96,9,1394.64,836.99
P0020,2023-02-25,South,Clothing,167.54,8,1340.32,540.24
P0020,2023-05-03,North,Sports,182.5,10,1825.0,1237.25
P0009,2023-11-19,West,Sports,50.58,19,961.02,638.94
P0010,2023-02-21,East,Sports,58.28,3,174.84,82.5
P0011,2023-12-26,North,Sports,215.12,6,1290.72,820.46
P0012,2023-02-16,East,Electronics,745.0,7,5215.0,2836.84
P0013,2023-01-22,West,Toys,13.11,3,39.33,18.17
P0017,2023-02-09,South,Furniture,441.72,14,6184.08,3506.92
P0015,2023-01-05,West,Furniture,376.72,3,1130.16,661.78
P0013,2023-02-28,West,Clothing,191.59,11,2107.49,1299.19
P0007,2023-05-22,South,Clothing,151.95,17,2583.15,1626.01
P0018,2023-08-08,South,Toys,57.28,17,973.76,449.6
P0007,2023-03-13,West,Toys,65.89,2,131.78,69.64
P0018,2023-01-22,West,Furniture,67.89,6,407.34,258.94
P0001,2023-01-02,South,Furniture,263.67,8,2109.36,1255.18
P0016,2023-04-05,East,Furniture,324.29,6,1945.74,883.93
P0013,2023-02-11,West,Clothing,165.48,2,330.96,202.12
P0015,2023-07-28,West,Electronics,414.75,9,3732.75,1678.67
P0012,2023-04-06,South,Sports,38.26,14,535.64,253.85
P0004,2023-07-23,East,Electronics,208.53,16,3336.48,1970.21
P0010,2023-02-10,West,Furniture,398.92,10,3989.2,2155.68
P0004,2023-08-30,West,Toys,100.83,2,201.66,114.1
P0017,2023-09-24,East,Sports,208.79,2,417.58,190.38
P0009,2023-05-12,South,Sports,158.96,7,1112.72,741.46
P0019,2023-10-13,South,Electronics,576.19,11,6338.09,4057.86
P0019,2023-09-29,South,Electronics,257.68,8,2061.44,832.94
P0015,2023-09-13,West,Toys,67.27,8,538.16,343.79
P0012,2023-02-13,South,Clothing,51.31,11,564.41,348.21
P0004,2023-11-15,West,Electronics,197.91,10,1979.1,1005.5
P0017,2023-01-27,East,Electronics,127.25,10,1272.5,697.98
P0016,2023-10-19,East,Sports,34.72,1,34.72,15.4
P0009,2023-05-24,North,Clothing,196.54,10,1965.4,1311.25
