Customer_ID,Name,Age,Gender,Location,Product_Category,Purchase_Amount,Purchase_Date,Loyalty_Points,Website_Visits,Preferred_Payment_Method
CUST1000,Customer_0,64,Male,North,Toys,301.4,2024-12-01,271,39,Debit Card
CUST1001,Customer_1,37,Male,East,Electronics,150.69,2024-12-24,503,10,Net Banking
CUST1002,Customer_2,27,Male,East,Fashion,449.15,2024-09-13,482,42,UPI
CUST1003,Customer_3,36,Male,East,Beauty,356.97,2024-01-02,412,49,Cash
CUST1004,Customer_4,59,Female,East,Toys,257.52,2024-08-30,136,40,Debit Card
CUST1005,Customer_5,58,Female,East,Home,404.92,2024-05-09,586,34,Debit Card
CUST1006,Customer_6,54,Female,West,Toys,60.28,2024-08-24,463,15,Cash
CUST1007,Customer_7,58,Female,North,Fashion,65.94,2024-08-28,345,5,Credit Card
CUST1008,Customer_8,65,Male,South,Home,112.58,2024-01-02,602,36,Cash
CUST1009,Customer_9,65,Male,East,Beauty,156.91,2024-05-30,420,11,Credit Card
CUST1010,Customer_10,32,Female,North,Fashion,161.89,2024-06-03,450,26,Cash
CUST1011,Customer_11,53,Female,South,Home,132.53,2024-11-13,377,32,UPI
CUST1012,Customer_12,36,Female,East,Fashion,388.6,2024-08-05,153,39,UPI
CUST1013,Customer_13,32,Male,South,Toys,215.61,2024-12-22,283,40,Credit Card
CUST1014,Customer_14,63,Male,South,Beauty,384.68,2024-07-13,602,37,Debit Card
CUST1015,Customer_15,37,Female,East,Fashion,48.01,2024-09-05,299,12,Debit Card
CUST1016,Customer_16,24,Male,East,Electronics,256.62,2024-01-14,617,22,Net Banking
CUST1017,Customer_17,37,Male,West,Toys,181.58,2024-07-14,439,31,UPI
CUST1018,Customer_18,20,Male,West,Fashion,481.88,2024-02-24,100,42,Net Banking
CUST1019,Customer_19,67,Male,South,Electronics,289.73,2024-03-03,892,47,Credit Card
CUST1020,Customer_20,26,Male,North,Fashion,327.11,2024-11-21,618,34,Credit Card
CUST1021,Customer_21,52,Female,West,Beauty,171.26,2024-03-20,629,28,UPI
CUST1022,Customer_22,53,Female,South,Fashion,75.11,2024-07-09,783,27,Credit Card
CUST1023,Customer_23,37,Female,South,Toys,115.73,2024-05-29,774,17,Credit Card
CUST1024,Customer_24,65,Male,East,Home,182.87,2024-07-13,717,2,Debit Card
CUST1025,Customer_25,50,Female,North,Electronics,446.44,2024-02-23,441,36,UPI
CUST1026,Customer_26,36,Female,North,Beauty,116.15,2024-08-04,823,8,Cash
CUST1027,Customer_27,58,Female,West,Fashion,112.88,2024-03-18,239,3,Cash
CUST1028,Customer_28,65,Male,South,Beauty,186.84,2024-02-22,219,40,Credit Card
CUST1029,Customer_29,36,Male,South,Beauty,266.37,2024-02-29,342,9,Cash
CUST1030,Customer_30,24,Female,South,Home,357.38,2024-08-29,456,4,Net Banking
CUST1031,Customer_31,51,Female,West,Toys,80.26,2024-01-11,306,48,Net Banking
CUST1032,Customer_32,62,Male,South,Toys,401.98,2024-05-22,290,16,Net Banking
CUST1033,Customer_33,24,Female,West,Fashion,127.47,2024-01-06,481,2,Credit Card
CUST1034,Customer_34,64,Male,East,Beauty,25.09,2024-06-15,146,16,Cash
CUST1035,Customer_35,42,Female,West,Fashion,74.97,2024-12-14,905,28,Debit Card
CUST1036,Customer_36,57,Female,North,Fashion,89.05,2024-02-13,222,33,Debit Card
CUST1037,Customer_37,53,Female,North,Fashion,300.47,2024-06-30,80,23,Credit Card
CUST1038,Customer_38,64,Female,East,Home,94.24,2024-04-17,603,16,Credit Card
CUST1039,Customer_39,26,Male,East,Beauty,492.35,2024-11-27,712,49,UPI
CUST1040,Customer_40,54,Male,North,Beauty,54.65,2024-12-13,666,21,Debit Card
CUST1041,Customer_41,23,Male,South,Electronics,114.42,2024-06-21,427,25,Debit Card
CUST1042,Customer_42,25,Male,West,Home,117.8,2024-06-14,221,15,Debit Card
CUST1043,Customer_43,55,Female,North,Home,44.32,2024-07-17,853,6,Cash
CUST1044,Customer_44,44,Male,East,Electronics,321.33,2024-05-21,391,5,Debit Card
CUST1045,Customer_45,41,Male,West,Electronics,339.2,2024-03-21,715,21,Net Banking
CUST1046,Customer_46,32,Female,West,Toys,383.39,2024-11-04,416,3,Cash
CUST1047,Customer_47,28,Female,West,Beauty,323.04,2024-12-26,648,9,Credit Card
CUST1048,Customer_48,56,Male,East,Home,242.12,2024-01-10,127,41,Cash
CUST1049,Customer_49,35,Female,South,Fashion,312.43,2024-10-27,964,33,Credit Card
CUST1050,Customer_50,31,Female,South,Home,44.34,2024-01-13,858,50,Cash
CUST1051,Customer_51,53,Male,West,Electronics,61.14,2024-06-07,250,4,Net Banking
CUST1052,Customer_52,20,Female,East,Beauty,483.46,2024-04-20,361,33,Cash
CUST1053,Customer_53,24,Male,West,Fashion,14.79,2024-02-02,718,5,Cash
CUST1054,Customer_54,69,Male,North,Fashion,218.3,2024-12-18,38,36,UPI
CUST1055,Customer_55,70,Male,South,Toys,292.8,2024-05-18,492,19,Debit Card
CUST1056,Customer_56,47,Female,East,Beauty,484.56,2024-05-30,411,44,Debit Card
CUST1057,Customer_57,28,Male,East,Beauty,45.82,2024-08-02,496,37,Cash
CUST1058,Customer_58,64,Female,South,Toys,398.77,2024-03-12,229,5,Cash
CUST1059,Customer_59,70,Male,North,Electronics,423.74,2024-08-26,689,23,Credit Card
CUST1060,Customer_60,58,Female,North,Electronics,404.0,2024-03-31,751,19,UPI
CUST1061,Customer_61,67,Male,North,Beauty,368.57,2024-04-21,779,25,Debit Card
CUST1062,Customer_62,36,Female,South,Electronics,354.87,2024-07-23,494,33,Net Banking
CUST1063,Customer_63,43,Male,East,Fashion,269.23,2024-12-20,951,37,UPI
CUST1064,Customer_64,68,Female,East,Electronics,481.1,2024-09-20,135,23,UPI
CUST1065,Customer_65,37,Male,West,Beauty,25.46,2024-02-21,705,24,Credit Card
CUST1066,Customer_66,52,Female,South,Toys,477.33,2024-01-09,771,15,Cash
CUST1067,Customer_67,28,Female,South,Toys,140.27,2024-01-28,513,43,UPI
CUST1068,Customer_68,61,Female,North,Home,159.23,2024-05-03,853,17,UPI
CUST1069,Customer_69,24,Male,South,Toys,150.77,2024-09-02,238,32,Credit Card
CUST1070,Customer_70,24,Female,West,Home,142.56,2024-09-04,66,49,Debit Card
CUST1071,Customer_71,24,Female,West,Beauty,150.36,2024-11-12,205,14,UPI
CUST1072,Customer_72,40,Female,South,Home,384.15,2024-10-22,396,28,Net Banking
CUST1073,Customer_73,39,Male,West,Electronics,199.8,2024-10-23,162,20,Debit Card
CUST1074,Customer_74,43,Male,West,Fashion,85.65,2024-07-26,365,14,Net Banking
CUST1075,Customer_75,67,Male,East,Beauty,100.84,2024-11-04,250,19,Debit Card
CUST1076,Customer_76,65,Female,West,Home,81.71,2024-10-24,635,15,UPI
CUST1077,Customer_77,28,Male,North,Electronics,346.84,2024-12-03,509,20,Credit Card
CUST1078,Customer_78,29,Female,East,Beauty,58.47,2024-06-01,498,29,Cash
CUST1079,Customer_79,47,Female,West,Fashion,363.4,2024-03-03,908,6,UPI
CUST1080,Customer_80,24,Male,South,Toys,364.35,2024-12-10,397,28,Credit Card
CUST1081,Customer_81,30,Male,South,Toys,394.41,2024-11-19,29,46,UPI
CUST1082,Customer_82,57,Female,West,Fashion,118.89,2024-06-15,562,37,UPI
CUST1083,Customer_83,30,Female,West,Toys,248.45,2024-04-16,839,5,Cash
CUST1084,Customer_84,39,Female,West,Fashion,49.56,2024-11-14,424,9,Credit Card
CUST1085,Customer_85,63,Male,West,Fashion,32.37,2024-10-31,438,31,Cash
