Sales_Date,Region,Quantity_Sold,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Category,Product_ID,mean,std,cv,safety_stock
2023-01-01,East,298.0,,,,,,,,,,,,,,,,,,,
2023-01-01,North,383.0,,,,,,,,,,,,,,,,,,,
2023-01-01,South,420.0,,,,,,,,,,,,,,,,,,,
2023-01-01,West,392.0,,,,,,,,,,,,,,,,,,,
2023-01-02,East,443.0,,,,,,,,,,,,,,,,,,,
2023-01-02,North,312.0,,,,,,,,,,,,,,,,,,,
2023-01-02,South,333.0,,,,,,,,,,,,,,,,,,,
2023-01-02,West,278.0,,,,,,,,,,,,,,,,,,,
2023-01-03,East,347.0,,,,,,,,,,,,,,,,,,,
2023-01-03,North,386.0,,,,,,,,,,,,,,,,,,,
2023-01-03,South,326.0,,,,,,,,,,,,,,,,,,,
2023-01-03,West,345.0,,,,,,,,,,,,,,,,,,,
2023-01-04,East,350.0,,,,,,,,,,,,,,,,,,,
2023-01-04,North,279.0,,,,,,,,,,,,,,,,,,,
2023-01-04,South,413.0,,,,,,,,,,,,,,,,,,,
2023-01-04,West,372.0,,,,,,,,,,,,,,,,,,,
2023-01-05,East,341.0,,,,,,,,,,,,,,,,,,,
2023-01-05,North,400.0,,,,,,,,,,,,,,,,,,,
2023-01-05,South,303.0,,,,,,,,,,,,,,,,,,,
2023-01-05,West,423.0,,,,,,,,,,,,,,,,,,,
2023-01-06,East,302.0,,,,,,,,,,,,,,,,,,,
2023-01-06,North,338.0,,,,,,,,,,,,,,,,,,,
2023-01-06,South,301.0,,,,,,,,,,,,,,,,,,,
2023-01-06,West,380.0,,,,,,,,,,,,,,,,,,,
2023-01-07,East,347.0,,,,,,,,,,,,,,,,,,,
2023-01-07,North,163.0,,,,,,,,,,,,,,,,,,,
2023-01-07,South,307.0,,,,,,,,,,,,,,,,,,,
2023-01-07,West,377.0,,,,,,,,,,,,,,,,,,,
2023-01-08,East,201.0,,,,,,,,,,,,,,,,,,,
2023-01-08,North,429.0,,,,,,,,,,,,,,,,,,,
2023-01-08,South,430.0,,,,,,,,,,,,,,,,,,,
2023-01-08,West,384.0,,,,,,,,,,,,,,,,,,,
2023-01-09,East,388.0,,,,,,,,,,,,,,,,,,,
2023-01-09,North,134.0,,,,,,,,,,,,,,,,,,,
2023-01-09,South,479.0,,,,,,,,,,,,,,,,,,,
2023-01-09,West,468.0,,,,,,,,,,,,,,,,,,,
2023-01-10,East,370.0,,,,,,,,,,,,,,,,,,,
2023-01-10,North,457.0,,,,,,,,,,,,,,,,,,,
2023-01-10,South,237.0,,,,,,,,,,,,,,,,,,,
2023-01-10,West,312.0,,,,,,,,,,,,,,,,,,,
2023-01-11,East,290.0,,,,,,,,,,,,,,,,,,,
2023-01-11,North,262.0,,,,,,,,,,,,,,,,,,,
2023-01-11,South,425.0,,,,,,,,,,,,,,,,,,,
2023-01-11,West,388.0,,,,,,,,,,,,,,,,,,,
2023-01-12,East,350.0,,,,,,,,,,,,,,,,,,,
2023-01-12,North,422.0,,,,,,,,,,,,,,,,,,,
2023-01-12,South,292.0,,,,,,,,,,,,,,,,,,,
2023-01-12,West,368.0,,,,,,,,,,,,,,,,,,,
2023-01-13,East,325.0,,,,,,,,,,,,,,,,,,,
2023-01-13,North,287.0,,,,,,,,,,,,,,,,,,,
2023-01-13,South,485.0,,,,,,,,,,,,,,,,,,,
2023-01-13,West,250.0,,,,,,,,,,,,,,,,,,,
2023-01-14,East,331.0,,,,,,,,,,,,,,,,,,,
2023-01-14,North,379.0,,,,,,,,,,,,,,,,,,,
2023-01-14,South,363.0,,,,,,,,,,,,,,,,,,,
2023-01-14,West,441.0,,,,,,,,,,,,,,,,,,,
2023-01-15,East,337.0,,,,,,,,,,,,,,,,,,,
2023-01-15,North,366.0,,,,,,,,,,,,,,,,,,,
2023-01-15,South,243.0,,,,,,,,,,,,,,,,,,,
2023-01-15,West,360.0,,,,,,,,,,,,,,,,,,,
2023-01-16,East,276.0,,,,,,,,,,,,,,,,,,,
2023-01-16,North,256.0,,,,,,,,,,,,,,,,,,,
2023-01-16,South,358.0,,,,,,,,,,,,,,,,,,,
2023-01-16,West,390.0,,,,,,,,,,,,,,,,,,,
2023-01-17,East,364.0,,,,,,,,,,,,,,,,,,,
2023-01-17,North,461.0,,,,,,,,,,,,,,,,,,,
2023-01-17,South,415.0,,,,,,,,,,,,,,,,,,,
2023-01-17,West,313.0,,,,,,,,,,,,,,,,,,,
2023-01-18,East,383.0,,,,,,,,,,,,,,,,,,,
2023-01-18,North,246.0,,,,,,,,,,,,,,,,,,,
2023-01-18,South,342.0,,,,,,,,,,,,,,,,,,,
2023-01-18,West,322.0,,,,,,,,,,,,,,,,,,,
2023-01-19,East,351.0,,,,,,,,,,,,,,,,,,,
2023-01-19,North,219.0,,,,,,,,,,,,,,,,,,,
2023-01-19,South,372.0,,,,,,,,,,,,,,,,,,,
2023-01-19,West,401.0,,,,,,,,,,,,,,,,,,,
2023-01-20,East,304.0,,,,,,,,,,,,,,,,,,,
2023-01-20,North,261.0,,,,,,,,,,,,,,,,,,,
2023-01-20,South,358.0,,,,,,,,,,,,,,,,,,,
2023-01-20,West,213.0,,,,,,,,,,,,,,,,,,,
2023-01-21,East,301.0,,,,,,,,,,,,,,,,,,,
2023-01-21,North,405.0,,,,,,,,,,,,,,,,,,,
2023-01-21,South,445.0,,,,,,,,,,,,,,,,,,,
2023-01-21,West,383.0,,,,,,,,,,,,,,,,,,,
2023-01-22,East,424.0,,,,,,,,,,,,,,,,,,,
2023-01-22,North,380.0,,,,,,,,,,,,,,,,,,,
2023-01-22,South,297.0,,,,,,,,,,,,,,,,,,,
2023-01-22,West,437.0,,,,,,,,,,,,,,,,,,,
2023-01-23,East,354.0,,,,,,,,,,,,,,,,,,,
2023-01-23,North,265.0,,,,,,,,,,,,,,,,,,,
2023-01-23,South,289.0,,,,,,,,,,,,,,,,,,,
2023-01-23,West,357.0,,,,,,,,,,,,,,,,,,,
2023-01-24,East,367.0,,,,,,,,,,,,,,,,,,,
2023-01-24,North,350.0,,,,,,,,,,,,,,,,,,,
2023-01-24,South,245.0,,,,,,,,,,,,,,,,,,,
2023-01-24,West,331.0,,,,,,,,,,,,,,,,,,,
2023-01-25,East,293.0,,,,,,,,,,,,,,,,,,,
2023-01-25,North,359.0,,,,,,,,,,,,,,,,,,,
2023-01-25,South,253.0,,,,,,,,,,,,,,,,,,,
2023-01-25,West,371.0,,,,,,,,,,,,,,,,,,,
2023-01-26,East,312.0,,,,,,,,,,,,,,,,,,,
2023-01-26,North,350.0,,,,,,,,,,,,,,,,,,,
2023-01-26,South,357.0,,,,,,,,,,,,,,,,,,,
2023-01-26,West,470.0,,,,,,,,,,,,,,,,,,,
2023-01-27,East,252.0,,,,,,,,,,,,,,,,,,,
2023-01-27,North,370.0,,,,,,,,,,,,,,,,,,,
2023-01-27,South,357.0,,,,,,,,,,,,,,,,,,,
2023-01-27,West,267.0,,,,,,,,,,,,,,,,,,,
2023-01-28,East,344.0,,,,,,,,,,,,,,,,,,,
2023-01-28,North,366.0,,,,,,,,,,,,,,,,,,,
2023-01-28,South,349.0,,,,,,,,,,,,,,,,,,,
2023-01-28,West,307.0,,,,,,,,,,,,,,,,,,,
2023-01-29,East,351.0,,,,,,,,,,,,,,,,,,,
2023-01-29,North,313.0,,,,,,,,,,,,,,,,,,,
2023-01-29,South,417.0,,,,,,,,,,,,,,,,,,,
2023-01-29,West,360.0,,,,,,,,,,,,,,,,,,,
2023-01-30,East,305.0,,,,,,,,,,,,,,,,,,,
2023-01-30,North,410.0,,,,,,,,,,,,,,,,,,,
2023-01-30,South,347.0,,,,,,,,,,,,,,,,,,,
2023-01-30,West,251.0,,,,,,,,,,,,,,,,,,,
2023-01-31,East,309.0,,,,,,,,,,,,,,,,,,,
2023-01-31,North,258.0,,,,,,,,,,,,,,,,,,,
2023-01-31,South,302.0,,,,,,,,,,,,,,,,,,,
2023-01-31,West,180.0,,,,,,,,,,,,,,,,,,,
2023-02-01,East,370.0,,,,,,,,,,,,,,,,,,,
2023-02-01,North,339.0,,,,,,,,,,,,,,,,,,,
2023-02-01,South,305.0,,,,,,,,,,,,,,,,,,,
2023-02-01,West,432.0,,,,,,,,,,,,,,,,,,,
2023-02-02,East,354.0,,,,,,,,,,,,,,,,,,,
2023-02-02,North,383.0,,,,,,,,,,,,,,,,,,,
2023-02-02,South,438.0,,,,,,,,,,,,,,,,,,,
2023-02-02,West,402.0,,,,,,,,,,,,,,,,,,,
2023-02-03,East,188.0,,,,,,,,,,,,,,,,,,,
2023-02-03,North,370.0,,,,,,,,,,,,,,,,,,,
2023-02-03,South,409.0,,,,,,,,,,,,,,,,,,,
2023-02-03,West,329.0,,,,,,,,,,,,,,,,,,,
2023-02-04,East,417.0,,,,,,,,,,,,,,,,,,,
2023-02-04,North,299.0,,,,,,,,,,,,,,,,,,,
2023-02-04,South,358.0,,,,,,,,,,,,,,,,,,,
2023-02-04,West,318.0,,,,,,,,,,,,,,,,,,,
2023-02-05,East,397.0,,,,,,,,,,,,,,,,,,,
2023-02-05,North,400.0,,,,,,,,,,,,,,,,,,,
2023-02-05,South,469.0,,,,,,,,,,,,,,,,,,,
2023-02-05,West,368.0,,,,,,,,,,,,,,,,,,,
2023-02-06,East,262.0,,,,,,,,,,,,,,,,,,,
2023-02-06,North,397.0,,,,,,,,,,,,,,,,,,,
2023-02-06,South,311.0,,,,,,,,,,,,,,,,,,,
2023-02-06,West,299.0,,,,,,,,,,,,,,,,,,,
2023-02-07,East,434.0,,,,,,,,,,,,,,,,,,,
2023-02-07,North,320.0,,,,,,,,,,,,,,,,,,,
2023-02-07,South,290.0,,,,,,,,,,,,,,,,,,,
2023-02-07,West,261.0,,,,,,,,,,,,,,,,,,,
2023-02-08,East,395.0,,,,,,,,,,,,,,,,,,,
2023-02-08,North,298.0,,,,,,,,,,,,,,,,,,,
2023-02-08,South,158.0,,,,,,,,,,,,,,,,,,,
2023-02-08,West,240.0,,,,,,,,,,,,,,,,,,,
2023-02-09,East,323.0,,,,,,,,,,,,,,,,,,,
2023-02-09,North,415.0,,,,,,,,,,,,,,,,,,,
2023-02-09,South,417.0,,,,,,,,,,,,,,,,,,,
2023-02-09,West,300.0,,,,,,,,,,,,,,,,,,,
2023-02-10,East,372.0,,,,,,,,,,,,,,,,,,,
2023-02-10,North,311.0,,,,,,,,,,,,,,,,,,,
2023-02-10,South,266.0,,,,,,,,,,,,,,,,,,,
2023-02-10,West,244.0,,,,,,,,,,,,,,,,,,,
2023-02-11,East,324.0,,,,,,,,,,,,,,,,,,,
2023-02-11,North,343.0,,,,,,,,,,,,,,,,,,,
2023-02-11,South,303.0,,,,,,,,,,,,,,,,,,,
2023-02-11,West,379.0,,,,,,,,,,,,,,,,,,,
2023-02-12,East,257.0,,,,,,,,,,,,,,,,,,,
2023-02-12,North,403.0,,,,,,,,,,,,,,,,,,,
2023-02-12,South,336.0,,,,,,,,,,,,,,,,,,,
2023-02-12,West,219.0,,,,,,,,,,,,,,,,,,,
2023-02-13,East,379.0,,,,,,,,,,,,,,,,,,,
2023-02-13,North,337.0,,,,,,,,,,,,,,,,,,,
2023-02-13,South,302.0,,,,,,,,,,,,,,,,,,,
2023-02-13,West,252.0,,,,,,,,,,,,,,,,,,,
2023-02-14,East,382.0,,,,,,,,,,,,,,,,,,,
2023-02-14,North,322.0,,,,,,,,,,,,,,,,,,,
2023-02-14,South,395.0,,,,,,,,,,,,,,,,,,,
2023-02-14,West,409.0,,,,,,,,,,,,,,,,,,,
2023-02-15,East,232.0,,,,,,,,,,,,,,,,,,,
2023-02-15,North,228.0,,,,,,,,,,,,,,,,,,,
2023-02-15,South,248.0,,,,,,,,,,,,,,,,,,,
2023-02-15,West,378.0,,,,,,,,,,,,,,,,,,,
2023-02-16,East,435.0,,,,,,,,,,,,,,,,,,,
2023-02-16,North,346.0,,,,,,,,,,,,,,,,,,,
2023-02-16,South,420.0,,,,,,,,,,,,,,,,,,,
2023-02-16,West,380.0,,,,,,,,,,,,,,,,,,,
2023-02-17,East,339.0,,,,,,,,,,,,,,,,,,,
2023-02-17,North,361.0,,,,,,,,,,,,,,,,,,,
2023-02-17,South,305.0,,,,,,,,,,,,,,,,,,,
2023-02-17,West,350.0,,,,,,,,,,,,,,,,,,,
2023-02-18,East,425.0,,,,,,,,,,,,,,,,,,,
2023-02-18,North,367.0,,,,,,,,,,,,,,,,,,,
2023-02-18,South,268.0,,,,,,,,,,,,,,,,,,,
2023-02-18,West,353.0,,,,,,,,,,,,,,,,,,,
